SHA,URL,Description/Commit Message,Categorized Refactoring 1,Categorized Refactoring 2,Categorized Refactoring 3,Categorized Refactoring 4,Categorized Refactoring 5,Categorized Refactoring 6,Tech Debt,Number of Refactorings,Number of Tech Debts Addressed,Library,Unnamed: 11,Unnamed: 12,Unnamed: 13
36c67ca7c42e9ff3153fd6d8a9957f97a55dbf1e,https://github.com/AnthusAI/Plexus/commit/36c67ca7c42e9ff3153fd6d8a9957f97a55dbf1e,opted for langchain_openai rather than langchain_community.chat_models,Changed Imports,,,,,,Maintainability,1.0,1.0,LangChain,,,
c24b8d2c2fc40913415a7883c87a5c8185a17a37,https://github.com/Mihai-Tirtara/HypochondriAI/commit/c24b8d2c2fc40913415a7883c87a5c8185a17a37,refactor the langchain service to follow clean code practices of top-down,Altered State Schema (messages),Altered agent architecture,,,,,Maintainability/Performance/Scalability,2.0,1.0,LangGraph,,,
ab5d0bcafc3930fb82ade557ed6e4b229414280d,https://github.com/rockc15/model-markets-playground/commit/ab5d0bcafc3930fb82ade557ed6e4b229414280d,refactors the code base to use runables by langchain,Runnable Sequence,,,,,,Maintainability,1.0,1.0,LangChain,,,
0a0f693ab93188fab7992f336983e26ce58a696c,https://github.com/Prajwalkadam29/code-genesis-shift-ea401119/commit/0a0f693ab93188fab7992f336983e26ce58a696c,"Refactor: Split LangChain service into smaller files This commit refactors the LangChain service code into smaller, more manageable files.",Graph Modularization,,,,,,Maintainability,1.0,1.0,LangChain,,,
1d2e9fe06b9a3d997f740104272bf77c109776a1,https://github.com/Bek85/pycode/commit/1d2e9fe06b9a3d997f740104272bf77c109776a1,refactor: modernize LangChain utilities to use current best practices,ChatPromptTemplate,,,,,,Maintainability/Reliability,1.0,2.0,LangChain,,,
ce68096815a8a0aaf164ebb6e2393c992910c520,https://github.com/zanekoch/EndPointApp/commit/ce68096815a8a0aaf164ebb6e2393c992910c520,optimize message handling by using LangChain objects throughout,Altered State Schema (messages),,,,,,Maintainability/Scalability/Performance,1.0,2.0,LangGraph,,,
dee52b14e5121c8e746e7a509cf65f8dd5c176f9,https://github.com/nickberens360/nickberens-astro/commit/dee52b14e5121c8e746e7a509cf65f8dd5c176f9,improve query routing with LangChain BaseRetriever,LangChain Objects,,,,,,Maintainability,1.0,1.0,LangChain,,,
e50b85ed673a2612bbec84ba3f211d6ab80f6dd6,https://github.com/TzviGreenfeld/ai-cv-agent/commit/e50b85ed673a2612bbec84ba3f211d6ab80f6dd6#diff-b5db45625e4c49352fa48a2b52c3896512fe36e206e0c536647a1e8d2901e313,"Refactor LangChain CV Agent: Enhance tool integration and improve YAML parsing, HTML generation, and report saving functionalities",Recursion Limit,Model Arguments,Tool Naming Conventions,Tool Decorator,,,Reliability/Understandability/Performance,2.0,2.0,LangChain,,,
8b79681d58b9a5553668b581332a3a17d5213676,https://github.com/bytewhisperer11/RAG-components/commit/8b79681d58b9a5553668b581332a3a17d5213676,refactor: update LLM initialization to use langchain.chat_models.init_chat_model interface,init_chat_model wrapper,,,,,,Maintainability,1.0,1.0,LangChain,,,
6779ffda3a8a21dec8afb5b57bfee345a8a19798,https://github.com/Yaswanth-Mitta/multi/commit/6779ffda3a8a21dec8afb5b57bfee345a8a19798,Fix conversational memory and LangChain processing - Improve follow-up question detection with more keywords - Fix LangChain newline formatting (remove double backslashes) - Enhance conversational response formatting - Better session management and memory persistence - Improved follow-up prompt engineering - Program restarts fresh when stopped and restarted,Context Trimming,,,,,,Performance/Cost,1.0,2.0,LangChain,,,
3552ac1d79779863375d794a7426e9c707fec6b3,Refactored: modularize and streamline agent core modules for LangChai… · arterm-sedov/cmw-platform-agent@3552ac1,Refactored: modularize and streamline agent core modules for LangChain purity,Message Handling,Caching,,,,,Maintainability/Reliability,2.0,1.0,LangChain,,,
5943fdc82b7d04eac1687acbdd78fe6acbc420be,https://github.com/amitabhmanu/agentis/commit/5943fdc82b7d04eac1687acbdd78fe6acbc420be,Update dependencies and fix LangChain imports,Message Handling,,,,,,Maintainability/Reliability,1.0,1.0,LangChain,,,
3c8e70e26e4f7a3699d95fc8db1bbfb6fa18cb2f,https://github.com/Athallah17/StockChatbot/commit/3c8e70e26e4f7a3699d95fc8db1bbfb6fa18cb2f,feat(memory): integrate LangChain context memory for multi-turn understanding,Add Conversational Memory,,,,,,Reliability,1.0,1.0,LangChain,,,
ef77bb2ccb38eee7f8a5e2374edb418adac4473b,Merge pull request #4 from fvanevski/langgraph_refactor · fvanevski/knowledge_agent@ef77bb2,Langgraph refactor,Altered State Schema (messages),Sub-Agents,Node naming conventions,Expanded State,,,Maintainability/Scalability/Understandability/Performance,4.0,1.0,LangGraph,,,
dfea5f54d75ccb3a95dee12f5d8c4979ee30a612,LangGraph: Self-consistency implemention to improve model accurancy a… · syada13/hands-on-building-llm-powered-applications@dfea5f5,LangGraph: Self-consistency implemention to improve model accurancy and performance,Self consistency,,,,,,Reliability,1.0,1.0,LangGraph,,,
b0c6e9a966b61ae3f72057f07e3c20c6cc0d8ebe,Refactored backend from langchain to lang graph for better performanc… · Eden-Cohen1/Projectron@b0c6e9a,"Refactored backend from langchain to lang graph for better performance and token usage, added implementation plan tab in the frontend, added project creation screen and QA screen",,,,,,,Performance/Cost,1.0,2.0,LangGraph,,,
57f9fd5529a48d9d4a79ece65d082c0d0e87d192,Integrate native LangGraph for faster and more efficient AI processing · Mohamed-B-ak/Siyadah-Call-Center-AI-maatmd-fryq@57f9fd5,Integrate native LangGraph for faster and more efficient AI processing Replaces external LangGraph service calls with direct native LangGraph integration to improve performance and reduce network overhead.,Native langgraph on client-side,,,,,,Performance,1.0,1.0,LangGraph,,,
c72917ff1975277c7462ab0babc37b69d0a49fba,Switch to asynchronous graph invocation · lothronx/cm3070-lawtime@c72917f,"This prevents blocking the event loop during agent execution, improving overall server performance and responsiveness.",Asynchronous invocation,,,,,,Performance,1.0,1.0,LangGraph,,,
262c51c5f63369ace7e4c94874a4a4a21d84e75b,feat(swarm): implement LangGraph migration with agent pooling and con… · RyanLisse/solomon-codes@262c51c,"Enhanced SwarmCoordinator with thread-safe agent spawning, agent pool integration, and consensus result caching with TTL",Sub-Agents,Caching,,,,,Maintainability/Performance/Scalability,2.0,2.0,LangGraph,,,
f4877dc71af4bc6a2405aaf844c535cec788dde3,feat: Refactor LangGraph agent architecture and enhance coordination … · bossjones/boss-bot@f4877dc,feat: Refactor LangGraph agent architecture and enhance coordination patterns,Altered State Schema (messages),Tool decorator,ChatPromptTemplate,Sub-Agents,,,Maintainability/Reliability/Scalability/Performance,4.0,2.0,LangGraph,,,
9623904a39d7ed182c77251839b857c3fcb3ee36,feat(langgraph): complete Phase 1 - eliminate dual memory system · Hive-Academy/nestjs-ai-saas-starter@9623904,eliminate dual memory system,,,,,,,,,,LangGraph,,,
ecfb314b546018e0e745344ce391a89c5d78774a,Refactor AsyncErrorDetector and LangChain/LangGraph interceptors for … · NirelNemirovsky/aigie-io@ecfb314,"Introduce AsyncExecutionMonitor for asynchronous context management, enhancing performance tracking and error detection. Update example scripts to reflect changes in model initialization and checkpointing, ensuring compatibility with new dependencies and features.",Error Handling,,,,,,Observability,,1.0,Both,,,
9725e1046a2295153287806807e01fe9ed611043,"langchain[minor]: Add native async implementation to LLMFilter, add c… · langchain-ai/langchain@9725e10","Add native async implementation to LLMFilter, add concurrency to both sync and async paths",,,,,,,,,,LangChain,,,
480954043d339645631848d17f3ecc4fbaf4156e,Investigate parallel tool processing with LangChain/LangGraph by harshith1204 · Pull Request #121 · harshith1204/pms-assistant,Investigate parallel tool processing with LangChain/LangGraph by harshith1204 · Pull Request #121 · harshith1204/pms-assistant,Parallel Tools,,,,,,Performance,1.0,1.0,Both,,,
4df8c94080c2a208c642957a7bb0c5420ef5cb91,All of the langgraph logic works. Making SWIFT performance better via… · Ege-Cakar/Automated-Risk-Assessment@4df8c94,All of the langgraph logic works. Making SWIFT performance better via adding a shared whiteboard and will be adding walls to stop from moving onto the next step of SWIFT before the step they're on is fulfilled in a satisfactory manner,Recursion limit,,Sub-Agents,Agent Planning,,,Reliability,3.0,1.0,LangGraph,,,
b9a4506472e8dd660ce3d5d2e2b4f2d076a4d16f,"feat: Major LangGraph optimization with performance, scalability, and… · J-mazz/sys-scan-graph@b9a4506","Major LangGraph optimization with performance, scalability, and reliability enhancements",Parallel Nodes,,,,,,Performance,1.0,1.0,LangGraph,,,
e3789a4beea75045002ed2d6daf0fd75c8c9bc4d,Update langgraph agent and tools for improved logic · MaazKhan3/ExpenseBot_POC@e3789a4,Update langgraph agent and tools for improved logic,,,,,,,,,,LangGraph,,,
04da5c04b2a186867f244859a8172e728d7d082d,Enhance Aigie LangGraph demo with real-time monitoring and error dete… · NirelNemirovsky/aigie-io@04da5c0,"Enhance Aigie LangGraph demo with real-time monitoring and error detection features. Updated example to showcase actual interception, performance metrics, and state tracking during LangGraph operations.",Expand Agent State,,,,,,Observability,1.0,1.0,LangGraph,,,
07608050ca98ff61c92beec7c15b9a666d735139,feat: Optimize ReAct workflow API calls and add Mac M4 Apple Silicon … · chintamanil/cybershield@0760805,feat: Optimize ReAct workflow API calls and add Mac M4 Apple Silicon support,Recursion Limit,,,,,,Cost/Performance,1.0,1.0,LangGraph,,,
3b6f9626e9fe5d060e4f8bfb5a312c0d495c481f,Support nested sub agents (#262) · JoshuaC215/agent-service-toolkit@3b6f962,Support nested sub agents,Sub-agents,Node Naming conventions,,,,,Maintainability/Understandability/Scalability,1.0,2.0,LangGraph,,,
c8b96a231470d0a490371be61fcd7600248e2afd,feat: Transform HACS developer agent into production-ready deep admin… · solanovisitor/hacs-ai@c8b96a2,Transform HACS developer agent into production-ready deep admin agent,Sub-agents,Altered State Schema (Messages),,Tool Decorator,Parallel Tools,StructuredTool,Maintainability/Reliability/Scalability/Performance,4.0,2.0,LangGraph,,,
a11d83969234368fd6c7a4a3118a23177b5e7ec8,feat: migrate to LangGraph message-based memory · parth1609/RAGveda@a11d839,migrate to LangGraph message-based memory,Altered State Schema (messages),,,,,,Maintainability/Scalability/Performance,1.0,2.0,LangGraph,,,
ba12613265b7a9918d34fb92ddb9ac731a66a433,Implement message synchronization to LangGraph checkpointer in agent … · guinacio/langchain-mcp-client@ba12613,Implement message synchronization to LangGraph checkpointer in agent manager.,Checkpointer,,,,,,Scalability/Reliability,1.0,,LangGraph,,,
7e4670094d0cd943e5eac928352881126862a350,Optimize LangGraph workflow with parallel LLM calls and streaming res… · Dtano17/pathwise_app@7e46700,Optimize LangGraph workflow with parallel LLM calls and streaming responses,Parallel Nodes,,,,,,Performance,1.0,1.0,LangGraph,,,
fd6dffa35aa62265b2505e3a4e4b4f130f87ed4b,refactor: Remove ~600 lines of unused code from LangGraph agent · BomfimThiago/ZendeskiAgentAutomation@fd6dffa,"Major cleanup removing dead code, unused files, and unused configuration across the entire AI module.",Minimized State Schema,,,,,,Maintainability/Scalability/Performance,1.0,,LangGraph,,,
dc50ee7a8c21ca32979815dc4349ab9cd8527096,feat: enable haiku model by default and update model name · idvorkin/nlp@dc50ee7,,Model Change,,,,,,,1.0,,LangChain,,,
e356db4a07d03bdc47ce3adbadd1ee98b9ec609d,fix: synchronize release metadata and resolve critical implementation… · vishnu2kmohan/mcp-server-langgraph@e356db4,"Implement Conversation Retrieval, Fix LiteLLM Fallback kwargs",Checkpointer,Additional Kwargs,,,,,Compatability/Reliability/Scalability,2.0,,LangGraph,,,
c373419d444a224aaf561b032ba5446e00138286,llm refactor · JaymieX/JAA@c373419,Altered to leverage State for conversational memory and checkpointer for memory persistence,Altered State Schema (messages),Checkpointer,,,,,Scalability/Performance/Reliability/Maintainability,2.0,,LangGraph,,,
f56c8469da9e8a2238c2c19eebf22daedfd68e59,feat(ai-service): Integrate dynamic OBC content fetching into tools · ykinger/Buildsure-be@f56c846,Use of ChatPromptTemplate for improved prompt engineering; persistent memory,ChatPromptTemplate,Checkpointer,,,,,Reliability/Scalability/Maintainability,2.0,,,,,
8108951369a79d1ed04b08998697c87d5a6e3f9d,feat: implement LangchainPromptRunner for unified LLM operations · aruizca/aruizca-resume@8108951,"LangchainPromptRunner class for consistent caching, error-handling, etc.",Caching,,,,,,Performance/Maintainability,2.0,,,,,
818d728d22511603d5815d473fe178d652a3ab79,fix: enable real-time SSE streaming for supervisor + sub-agents · RunLittleTurtle/agent_inbox@818d728,fix: enable real-time SSE streaming for supervisor + sub-agents · RunLittleTurtle/agent_inbox@818d728,Message Handling,,,,,,Maintainability/Reliability,1.0,,,,,
a116793c2e22d3f93d7550ebf22ec2c46a3ccbc8,refactor: introduce template-based dynamic planning and execution logic · TencentBlueKing/bk-lite@a116793,,Message Handling,,,,,,Maintainability/Reliability,1.0,,,,,
ad59db504daa798862aeafb880b9f357691b1812,Fix LangGraph concurrent state update error · Ziyan0219/data-cleaning-agent@ad59db5,Use Annotated types for concurrent message updates,Altered State Schema (messages),Limit Node Returns,,,,,Performance/Maintainability/Scalability,2.0,,LangGraph,,,
6a388889593299adbe5e845fb7db5dc718548efa,https://github.com/ZeroBranding/GCZ-MAIN/commit/6a388889593299adbe5e845fb7db5dc718548efa,,Parallel Nodes,,,,,,Performance,1.0,,LangGraph,,,
14a6100a1b7eaa168c0e04ec15e7ccee75e40b2f,feat: Add deep research agent with markdown rendering and CORS support · Yousif-Abuzeid/Deep-Query@14a6100,"""Add researcher sub-agents for web research"" / ""Fix iteration control logic to enforce max iterations""",Recursion Limit,Sub-Agents,,,,,Reliability/Performance/Scalability/Maintainability,2.0,1.0,LangGraph,,,
b9f994f27f818cd86f575f4bc5f71bb81a251c68,Refactor agent workflow and enhance toolset · Yoni-Raich/Article_Chat_Assignmentm@b9f994f,"""Refactored the agent to use LangGraph's message-based state"" / ""introduced specialized sub-agents for single, multi, and all-article queries""",Altered State Schema (messages),Sub-Agents,,,,,Maintainability/Reliability,2.0,2.0,LangGraph,,,
3b6f9626e9fe5d060e4f8bfb5a312c0d495c481f,Support nested sub agents (#262) · JoshuaC215/agent-service-toolkit@3b6f962,Support nested sub agents,Sub-Agents,Message Handling,,,,,Maintainability/Scalability/Reliability,2.0,,LangGraph,,,
c8b96a231470d0a490371be61fcd7600248e2afd,feat: Transform HACS developer agent into production-ready deep admin… · solanovisitor/hacs-ai@c8b96a2,"Integrated deepagents framework with planning tools, file system, and specialized sub-agents",Altered State Schema (messages),StructuredTool,Configuration Injection,Expanded State,,,Maintainability/Reliability/Scalability/Performance,4.0,2.0,LangGraph,,,
6a5955e196dc37777c5335d2639406eeb35a7b84,feat: Complete memory system MVP (US1-US4) · RonnyRoos/cerebrobot@6a5955e,"Memory system with pgvector embeddings, semantic search, LLM-driven updates, and strict namespace isolation. ",Checkpointer,Context Trimming,Tool Refactor,,,,Reliability/Scalability/Cost,3.0,1.0,,,,
a11d83969234368fd6c7a4a3118a23177b5e7ec8,feat: migrate to LangGraph message-based memory · parth1609/RAGveda@a11d839,Replace custom MemoryManager with LangGraph's MessagesState,Altered State Schema (messages),,,,,,Maintainability/Scalability/Performance,1.0,,,,,
7c38fdd159b1600511ea90891b1b10a3dda0a724,feat: Implement full agentic_router LangGraph application · mirjebreili/Agentic-Router@7c38fdd,"A complete Python application structure within the `agentic_router/` directory, including a `StateGraph` in `graph.py` and modular nodes for each processing step (`classify`, `discover`, `forward`, `format`).",Sub-Agents,,,,,,Maintainability/Scalability,1.0,2.0,LangGraph,,,
cf13775204511b3ff19ad81aa1a500c8deb23f55,Tutorial 3 (#16) · launchdarkly-labs/devrel-agents-tutorial@cf13775,,Asynchronous invocation,Message Handling,Token Tracking,,,,Performance/Reliability/Maintainability,,,,,,
7743f0c41f18199a091625ec45905fed714d1e42,♻️ refactor(tdr-bot): Implement LLM orchestration service with media … · codemonkey800/lilnas@7743f0c,"""Refactor chat.service.ts to use centralized typing constants - Refactor llm.service.ts to use temperature and search result constants - Refactor state.service.ts to use default values and simplified timeouts""",Model Arguments,Type safety,,,,,Reliability,2.0,1.0,,,,
5f96b3c650aab2964b6bfca01c22330183aef9a6,feat: Comprehensive OpenTelemetry Observability Stack · cds-9-group-6/sasya-arogya-engine@5f96b3c,Node execution timing and success rates by type - Individual tool usage tracking with duration metrics - Workflow state transitions and progression analysis,Tool Refactor,Expanded State,,,,,Observability,2.0,1.0,LangGraph,,,
bd1eaddcb610d3a53a1128d1c3dbedfcc8106220,Migrating from legacy ReAct agent to LangGraph · epklein/ai-agents@bd1eadd,Migrating from legacy ReAct agent to LangGraph,ChatPromptTemplate,Altered Agent architecture,,,,,Reliability/Maintainability,2.0,2.0,,,,
d564905c3e8708de390d6307280b4049b6a04fe2,Refactor memory storage backend and integrate langchain-core · Neuroca-Inc/Neuroca@d564905,"Modified langchain integration to utilize langchain-core modules for chains, embeddings, and memory. ",Changed Imports,,,,,,Reliability/Maintainability,1.0,2.0,,,,
7600564b2048f95d4e1e7e22ad67a0417cade07d,Refactor attention overlay system for better performance and maintain… · cds-9-group-6/sasya-chikitsa@7600564,Refactor attention overlay system for better performance and maintainability,Limit Node Returns,,,,,,Performance/Maintainability,1.0,2.0,LangGraph,,,
86c356436e6468ffd7ae102120a9b2b876ebc577,feat: ✨ Integrate Stateful AI Assistant with RAG and Sidepanel UI (#36) · DevDeividMoura/omni-max@86c3564,"This overhaul enables multi-turn conversations with persistent memory and a clear, maintainable agent workflow.",,Checkpointer,,,,,Reliability/Scalability,2.0,1.0,LangGraph,,,
5a2d42957ac7f69d98642e7e858373c9e584d260,refactor: Create reusable HITL node utilities for natural language in… · rudihinds/langgraph-agent@5a2d429,refactor: Create reusable HITL node utilities for natural language interactions,Graph Modularization,,,,,,Scalability/Maintainability,1.0,1.0,LangGraph,,,
0ad71e1993b2e1361290dc93d5d04a11b66c8bdf,"Implementación de Hyper-Enrichment v2, Optimización de RAG y Sistema … · aandmaldonado/ai-resume-agent@0ad71e1","Reduce max_tokens from 1024 to 512, Configure ChatGroq with top_p parameter to reduce creativity",Model Arguments,Model Change,,,,,Reliability/Performance,3.0,1.0,,,,
f53d33f64477f4393f87af4d9af6e3f482df9555,refactor(llm): switch default model from OpenAI to Claude · idvorkin/nlp@f53d33f,"Previously, OpenAI was the hardcoded default LLM across multiple modules when no specific model was selected, leading to inconsistent model usage and potential over-reliance on a single provider. ",Model Switching,Model Change,,,,,Reliability,2.0,1.0,,,,
447a09ce9a9e4c98ea60d0eb051e01a3cf973bab,refactor: migrate prompt management to LangChain ChatPromptTemplate · ckrough/file-classifier@447a09c,refactor: migrate prompt management to LangChain ChatPromptTemplate,ChatPromptTemplate,,,,,,Maintainability/Reliability,1.0,2.0,,,,
963722943a6f7d09976f7005a76db616e8462fcf,feat: Complete application refactor with JWT auth and professional ch… · Lokesh-Tallapaneni/Amazon-Affliate-Dashboard@9637229,"Added Analytics Assistant with multi-provider AI support (OpenAI, Gemini, Anthropic) ",Model Switching,,,,,,Reliability,1.0,1.0,,,,
468f8dd6e129faa25a3616d799a2659c4e20d243,feat: add thread-based messaging with notifications · RazumRu/ai-company@468f8dd,Refactors agent communication tool to use consistent hierarchical thread IDs enabling multi-agent conversations. Upgrades dependencies and adds Redis-backed notification queuing for scalability and reliability.,Checkpointer,Streaming,StructuredTool,,,,Scalability/Reliability,3.0,2.0,,,,
9f7332529850cceb0b1ab8138540796c6a47890e,[Fix] Migrate token usage to response_metadata and add stream retry (… · ChatLunaLab/chatluna@9f73325,Migrate token usage from generationInfo to AIMessageChunk.response_metadata across all adapters - Add automatic retry mechanism for streaming requests with configurable maxRetries,Model Arguments,Token Tracking,Recursion Limit,,,,Reliability/Cost,2.0,,,,,
ed783b2aebf9bdad2de7fedcec3a9ba9e723e7f8,fix: disable google models by default to prevent gRPC deadlocks and h… · idvorkin/nlp@ed783b2,refactor(changes): disable google models by default to prevent resource contention,Model Change,,,,,,Reliability/Cost,1.0,1.0,,,,
75770fed7fdfa9b1f37b0668a2225378c48775af,refactor: enhance LangGraph message processing and architecture · lc708/YADRA-YetAnotherDeepResearchAgent@75770fe,refactor: enhance LangGraph message processing and architecture,Message Handling,Type safety,Asynchronous Invocation,Checkpointer,,,Reliability,3.0,1.0,LangGraph,,,
870dffbb894925deb75dd1a0361b1647a1397eec,Feat/byoa (#2523) · crewAIInc/crewAI@870dffb,Updated LangGraphToolAdapter to use StructuredTool for better compatibility.,StructuredTool,LangChain Objects,,,,,Reliability,1.0,1.0,LangGraph,,,
25d916b0f6920e360f0b7bbcc4c03a13d767596f,Phase 4: Refactor WebSocket handler to use LangGraph streaming · pablo-lozano-martin/genesis@25d916b,,Streaming,Checkpointer,Asynchronous Invocation,,,,Reliability/Scalability/Performance,2.0,3.0,LangGraph,,,
8e53e7f5ef5ac140549db4b40eb2e299ddaad4a1,feat: Refactor create_analysis_plan_node with Gemini Function-calling · canoekuro/analytics_ai@8e53e7f,,Model Change,Agent Planning,,,,,Reliability/Cost,1.0,,,,,
964c7e8454286335568f44ce112c7dacfb4aa8f1,feat: Refactor LangGraph chat workflow and Vite configuration · takuto-NA/YouAlwaysWereJS@964c7e8,Migrated chat handling from direct LangChain invocations to a StateGraph-based workflow for improved structure and error handling.,,Message Handling,,,,,Reliability/Maintainability,2.0,1.0,LangGraph,,,
c921b8b79d7470039eb416224af7adb9f8e667e3,feat(workflow): implement workflow generation and fix E2E CI tests (#… · Kewton/MySwiftAgent@c921b8b,Refactored Nodes - evaluator.py: Use invoke_structured_llm instead of direct LLM calls - interface_definition.py: Use invoke_structured_llm - requirement_analysis.py: Use invoke_structured_llm - validation.py: Use invoke_structured_llm - Simplified agent.py router logic with better logging,init_chat_model wrapper,Message Handling,,,,,Reliability/Maintainability,2.0,2.0,LangGraph,,,
fc95ea86ec986426c442ea21a6c594a7b5954b14,Phase 3: Extract orchestration infrastructure from brain.py (#121) · unfoldingWord/bt-servant-engine@fc95ea8,Extracts individual files from monolith to make code base modularized,Graph Modularization,,,,,,Maintainability,1.0,1.0,LangGraph,,,
1f1028ef7a691b5fbd87cac72e2704069409a88c,refactor: TypedDict状態クラスをPydantic BaseModelに変換 (#4) · spin-glass/papers-rag-agent@1f1028e,refactor: convert TypedDict state classes to Pydantic BaseModel,Type Safety,Expanded State,,,,,Reliability,2.0,1.0,LangGraph,,,
231d4f2d2c062c04a233a788fd99f487ba4866bf,feature/agentic strength (#87) · unfoldingWord/bt-servant-engine@231d4f2,Add agentic strength tuning and intent,Model Switching,Graph Modularization,,,,,Cost/Performance,2.0,2.0,LangGraph,,,
416b36ea1d3d1a5cadc704834a1f0c319a16f159,refactor(agent): integrate LangGraph SDK ReAct agent (v3) with flexib… · HuskyDanny/FinancialAgent@416b36e,refactor(agent): integrate LangGraph SDK ReAct agent (v3) with flexible tool routing,Message Handling,,,,,,Reliability/Maintainability,1.0,2.0,LangGraph,,,
713bd5e1490355030336ee02242a9e7b2021e37f,🔧 MAJOR: Refactor LangChain implementation to use proper patterns · simonaszilinskas/lizdeika@713bd5e,Refactor LangChain implementation to use proper patterns,Message Handling,Checkpointer,,,,,Reliability/Maintainability,2.0,2.0,LangChain,,,
25bdd82f1ee6faeef3089793fd68a13fd8f2410a,[Security Solution][AI Assistant] Refactor DefaultAssistantGraph Stat… · elastic/kibana@25bdd82,Refactor DefaultAssistantGraph State and use preBuilt ToolNode,Altered State Schema (messages),Tool Refactor,Graph restructure,,,,Maintainability/Scalability/Performance,3.0,1.0,LangGraph,,,
3e924091a8e3713a712fb8bcc187696d02c5b3fb,refactor(api): Otimiza inicialização do agente e corrige ciclo de vid… · arthurmorais12/ecommerce-chat@3e92409,"This commit significantly refactors the architecture of the conversational agent’s initialization and execution to improve performance, stability, and compliance with FastAPI best practices.",Caching,,,,,,Performance,1.0,1.0,,,,
