SHA,URL,Description/Commit Message,Categorized Refactoring 1,Categorized Refactoring 2,Categorized Refactoring 3,Categorized Refactoring 4,Categorized Refactoring 5,Categorized Refactoring 6,Tech Debt,Number of Refactorings,Number of Tech Debts Addressed,Library,Unnamed: 11,Unnamed: 12,Unnamed: 13
89262f6a4d5de552233a6f2617b9324ebf864446,refactor: enhance message processing and clean up deprecated fields · lc708/YADRA-YetAnotherDeepResearchAgent@89262f6,These changes aim to refine the message processing system and enhance the clarity and performance of the application.,Message Handling,,,,,,Maintainability,1.0,1.0,,,,
a9a2413836038678895ea722415348a6322cc5f1,refactor: update message handling to utilize LangGraph native fields · lc708/YADRA-YetAnotherDeepResearchAgent@a9a2413,refactor: update message handling to utilize LangGraph native fields,Message Handling,,,,,,Maintainability,1.0,1.0,,,,
89fb2de9b05a5331d1b7940bae593c657dd05fc9,refactor: complete LangGraph message types overhaul · lc708/YADRA-YetAnotherDeepResearchAgent@89fb2de,refactor: complete LangGraph message types overhaul,Message Handling,,,,,,Maintainability,1.0,1.0,,,,
c432322786fa577c27bb5c84d2951ce782c805c3,[0.0.11]: Improve workflow (#11) · vimalmenon/ai@c432322,Refactor WorkflowExecuteManager and ExecuteWorkflowService: update execute_workflow method to accept id parameter and adjust model execution logic ,Graph restructure,,,,,,Maintainability/Observability,1.0,2.0,LangGraph,,,
cbe1f370adbd46b191523631613b6afd9ff213bb,Refactor langgraph configuration and enhance FastAPI server functiona… · Rajathbharadwaj/DocRAG-Backend@cbe1f37,"These changes collectively improve the structure and performance of the application, ensuring better integration of new features and clearer error handling.",Error Handling,Type safety,Asynchronous Invocation,,,,Maintainability/Reliability/Performance,2.0,2.0,,,,
9eb09b5b228db748c740c20b656691b156ee3dd4,Refactor main.py and agent logic for improved message handling and st… · Alexanderdunlop/MemGPT-Discord@9eb09b5,Refactor main.py and agent logic for improved message handling and state management,Asynchronous invocation,Message Handling,Type Safety,Expanded State,,,Performance/Reliability/Maintainability,4.0,3.0,LangGraph,,,
f08e870e097d31953a47a4dae476a23f0933c00a,feat: Upgrade to Langchain 1.0.0 (#393) · mcp-use/mcp-use@f08e870,refactor(mcpagent): update agent creation logic and imports ,Altered Agent architecture,Message Handling,,,,,Reliability/Maintainability,1.0,,,,,
b1f5b3ed92f37dd13459d2d772f75e11bbcc27c5,Refactor agent streaming and feedback loop components · X2bee/PlateeRAG_backend@b1f5b3e,Updated `agent_vllm_stream.py` to use `create_agent` instead of `create_tool_calling_agent` and adjusted the agent execution logic to align with LangChain 1.0.0 changes.,Altered Agent architecture,Message Handling,,,,,,1.0,,,,,
8b578a891c953f5e3f442236892244acbd7b59c2,https://github.com/ixoworld/ixo-oracles-boilerplate/commit/8b578a891c953f5e3f442236892244acbd7b59c2,chore: update langchain dependencies and refactor message handling,Error Handling,Message Handling,,,,,Reliability/Maintainability,1.0,1.0,,,,
dcf89a27e87f648130e66f752a8957591a0a97f2,🔧 chore(langchain): update dependencies and refactor code structure · tkhwang/tkhwang-pico@dcf89a2,chore(langchain): update dependencies and refactor code structure,Message Handling,,,,,,Reliability,1.0,1.0,,,,
8c4678d1615fbc3c0c3b97129a4789e08180cc2b,"feat: Implement multi-LLM provider architecture with OpenAI, Anthropi… · mehrdad-abdi/diversifier@8c4678d","Refactor llm_factory.py to use LangChain's init_chat_model for unified provider initialization ""Note: This is not exhaustive - LangChain init_chat_model supports many providers.""",init_chat_model wrapper,Model Arguments,,,,,Compatability/Reliability/Maintainability,2.0,3.0,,,,
4228e4e133cd201ebb2e04d0e40c3bf27b775b4c,feat: Refactor conversation memory and clean up codebase · Gael-Android/SSU_RAG@4228e4e,feat: Refactor conversation memory and clean up codebase,Model Arguments,RAG Refactor,Add Conversational Memory,,,,Reliability/Performance,3.0,2.0,,,,
e6b1254c77ae286b294415439cf5464c074780d9,Refactor calendar agent for enhanced performance and clarity · service-tisac/tisac-assistant-backend@e6b1254,Refactor calendar agent for enhanced performance and clarity,Message Handling,Model Change,,,,,Reliability/Maintainability,2.0,2.0,Both,,,
63bcdd9e26938ed6aa0c8054ae25afeab8cdc05b,Refactor codebase with comprehensive improvements for maintainability… · prxs-ai/praxis-py-sdk@63bcdd9,Refactor codebase with comprehensive improvements for maintainability and robustness,Message Handling,,Code Reuse,,,,Maintainability,3.0,1.0,LangChain,,,
3e970bfea0fb85405b07cd96dfc6e1d1ca862ed2,refactor(langchain-processor): Apply best practices to RAG pipeline · nguyenhonglich111-1001/Experimental@3e970bf,refactor(langchain-processor): Apply best practices to RAG pipeline,Caching,RAG Refactor,,,,,Maintainability/Performance,2.0,2.0,LangChain,,,
7aeb687533e53027aa477722d06d337b1a210ac6,fix: don't send duplicate messages to Agent (#8909) · langflow-ai/langflow@7aeb687,"refactor: streamline message extraction in handle_on_chain_start, Implemented LRU caching to optimize performance for repeated image processing",Caching,Message Handling,,,,,Maintainability/Performance,3.0,2.0,LangChain,,,
dbfdb82e27608b8ae60520366ba6f00d2ea607a8,Reimplement agent using langgraph (#22) · agent-revra/revra@dbfdb82,Reimplement agent using langgraph (#22),,Checkpointer,Message Handling,,,,Maintainability/Reliability,3.0,2.0,LangGraph,,,
047932232b127bf75e2e4840d7c390816e1d4dd8,refactor: update langgraph_streaming to use common code · coziro/ai-agent-demo@0479322,refactor: update langgraph_streaming to use common code,Code Reuse,,,,,,Maintainability,1.0,1.0,LangGraph,,,
050d52b3e547ec5812b071887b2547325ee3c5f6,feat: integrate DingTalk notifications and fix LangGraph deployment · callzhang/recruiter@050d52b,Refactor agent state definitions,Minimized State Schema,Tool Refactor,,,,,Maintainability,2.0,1.0,LangGraph,,,
94c4f5af7a4ac082a4edbd9ce566c4efac7f1534,Refactor langgraph_sync.py: improve type safety and variable naming · coziro/ai-agent-demo@94c4f5a,Use explicit ChatState construction for type safety,Type Safety,,,,,,Reliability,1.0,1.0,LangGraph,,,
e57ce65f2ed24ebae134fdd0ee5262e7220ba3f6,"feat: Refactor core architecture to a modular, graph-based system · moe1047/ai-bestie@e57ce65","feat: Refactor core architecture to a modular, graph-based system",Graph restructure,,,,,,Maintainability,1.0,1.0,LangGraph,,,
1ae88f755e6d8550cff98f00c5c8baf48a65ff76,Replace anthropic by generic OpenAI (#53) · synergyai-nl/svelte-langgraph@1ae88f7,State Management & Async Updates,Altered State Schema (messages),Model Change,,,,,Performance/Maintainability,2.0,2.0,LangGraph,,,
af56292ffbf744b67465a5db4469b07c3429290a,Refactor chat service to integrate LangGraph checkpointer · gargpriyal/Hackathon2025@af56292,Refactor chat service to integrate LangGraph checkpointer,Checkpointer,,,,,,Reliability/Scalability,1.0,1.0,LangGraph,,,
7b984c2a646dfef18e6fe07e5496f4d1ba847d5c,Refactor: GraphState 재설계 - LangGraph 표준 패턴 준수 · HAMA-team/HAMA-backend@7b984c2,Refactor: Redesign GraphState — Align with LangGraph Standard Pattern,Altered State Schema (messages),Expanded State,,,,,Maintainability/Scalability/Reliability,2.0,3.0,LangGraph,,,
54b0b101f3cf850ac75788998b10b4b856783e36,feat: improve LangGraph checkpoint handling and profile editing UI · yeshuman-io/yeshuman-agent-stack@54b0b10,feat: improve LangGraph checkpoint handling and profile editing UI,Checkpointer,,,,,,Scalability/Reliability,1.0,2.0,LangGraph,,,
01ee02deda6cdb1da733ba44fa038055b835c291,Refactor to production-ready architecture with clean separation of co… · kaiser-data/multi-agent-research@01ee02d,Refactor to production-ready architecture with clean separation of concerns,Sub-Agents,Model Switching,Altered State Schema (messages),Type Safety,,,Reliability/Scalability/Maintainability,4.0,2.0,LangGraph,,,
1024a413b145183291ce944702b800fea9e241bb,https://github.com/oasm-platform/oasm-assistant/commit/1024a413b145183291ce944702b800fea9e241bb,refactor(agents): implement base agent architecture with core components,Altered Agent architecture,,,,,,Maintainability,1.0,1.0,LangGraph,,,
ab7291c0b41aeccc9c23307cb5137d15e7160ba8,Merge pull request #6 from mirjebreili/codex/refactor-project-to-lang… · mirjebreili/Agentic-Router@ab7291c,Enable conversational message state for LangGraph dev,Altered State Schema (messages),,,,,,Maintainability/Scalability,1.0,2.0,LangGraph,,,
55c162e2d02236f2d6a133c34f4ca3cb4a5d3824,refactor: Simplify main agent and chat endpoint · TuberRishi/Kisan_Dost_AI@55c162e,refactor: Simplify main agent and chat endpoint,Graph Restructure,Minimized Conditional Routing,,,,,Maintainability/Performance,1.0,2.0,LangGraph,,,
45ce44dbb4c2a8724926a97dbf262110203b8f34,refactor(agents): implement base agent architecture with core components · oasm-platform/oasm-assistant@45ce44d,refactor(agents): implement base agent architecture with core components,Expand Agent State,Changed System Prompt,Type Safety,,,,Reliability/Maintainability,3.0,2.0,LangGraph,,,
b49fe1ece02ea9d12a3ecb8c1ad251aa0d482501,refactor: update Kronos agent integration in ChatService · anadi45/quark-chat@b49fe1e,"Enhanced the sendMessage method to utilize LangGraph streaming capabilities, allowing for better event handling and response streaming",Streaming,,,,,,Performance,1.0,1.0,LangGraph,,,
101f0f1ba118a2f390463d439c09d23935afc2bc,refactor(project): restructure and enhance LangGraph examples · d-gangz/langgraph-instructor@101f0f1,Add memory support with InMemorySaver checkpointing (3-memory.py),Checkpointer,,,,,,Reliability/Scalability,1.0,2.0,LangGraph,,,
22f295939a2679dd4a184f31617acbc9c59eb865,refactor(chatbot): replace manual message conversion with LangChain u… · d-gangz/langgraph-instructor@22f2959,refactor(chatbot): replace manual message conversion with LangChain utility,Message Handling,,,,,,Maintainability/Understandability,1.0,3.0,LangGraph,,,
362b4c1fcc3129b7ac0ec6f22f75674f9c5cf6a6,Feature/ai chat (#6) · jewells77/EchoBrandAI-Mind-Backup@362b4c1,refactor: langgraph nodes & llm output * refactor: combined the final output for start & continue chat * refactor: add only n number of chat messages * refactor: refine the prompts,Altered State Schema (messages),Changed System Prompt,Context Trimming,,,,Scalability/Reliability/Cost,3.0,3.0,LangGraph,,,
217b424555593a052374469699cd35dd382ea1ca,Refactor Chat and System Message Components for Improved Functionalit… · Svring/brain@217b424,Refactor Chat and System Message Components for Improved Functionality and Readability,Message Handling,,,,,,Reliability/Maintainability,1.0,2.0,LangGraph,,,
ac158890ff08cf139863941f7e80dfe56d56a680,Refactor Langgraph Stream Integration and Cleanup · Svring/brain@ac15889,Refactor Langgraph Stream Integration and Cleanup,Add Conversational Memory,,,,,,Reliability,1.0,1.0,LangGraph,,,
9993ad03ac4a6ef27c87bd2c57e8e6f0c08f7049,Refactor agent node to fix AttributeError · TuberRishi/Kisan_Dost_AI@9993ad0,Refactor agent node to fix AttributeError,Runnable Sequence,Tool Refactor,,,,,Reliability,2.0,1.0,LangChain,,,
8325fc83cb3a232b0258613461cb6461eb67e8ac,refactor: 重构对话系统架构，完全移除conversation概念并添加测试 · soontechgroup/ai-agents@8325fc8,Updated the checkpointer implementation to support both MongoDB and PostgreSQL,Checkpointer,,,,,,Reliability/Scalability,1.0,2.0,LangGraph,,,
72e0826d4effe42533f6eb0d0a229d34ef5ec35f,refactor(agent): Implement robust graph state management · kenomendako/gradiotest@72e0826,refactor(agent): Implement robust graph state management,Limit node returns,,,,,,Reliability,1.0,1.0,LangGraph,,,
399dbb01547de86c1b159c30c2e139093628988f,https://github.com/danny-avila/agents/commit/399dbb01547de86c1b159c30c2e139093628988f,"feat: Multi-Agent Graph with Parallel Execution, Handoffs, Conditional Routing",Altered State Schema (messages),Sub-Agents,Parallel Nodes,,,,Scalability/Performance/Maintainability,3.0,3.0,LangGraph,,,
d60b4f876bd5e355cddcc389706b680b5042d246,Refactor: Implement LangGraph-only state management with modular arch… · baotvdn/chatguard@d60b4f8,Refactor: Implement LangGraph-only state management with modular architecture,Checkpointer,Altered State Schema (messages),Graph Modularization,Streaming,,,Scalability/Reliability,4.0,2.0,LangGraph,,,
1bfec3ad0556c3a5f54e1067a11379f5d8ce919c,feat: Enhance chat streaming and tool call processing (#498) · Joecsr24/Luna@1bfec3a,Added support for MongoDB checkpointer in the chat streaming workflow,Checkpointer,,,,,,Scalability/Reliability,1.0,2.0,LangGraph,,,
556ee1c1eb18ee742ec6d4b5b2952058b556697d,feat: Refactor dependency management and optimize streaming protocol · lointain/langchain_aisdk_adapter@556ee1c,feat: Refactor dependency management and optimize streaming protocol,Message Handling,,,,,,Reliability/Maintainability/Scalability,,,LangGraph,,,
b7bca5a1310bdbfdd98023ad28e98954b063367c,Refactor: Improve chat endpoint validation and response handling · Les-Mills-Ai-Agent/RAG-Demon@b7bca5a,Refactor: Improve chat endpoint validation and response handling,Context Trimming,,,,,,Performance/Cost,1.0,2.0,LangGraph,,,
efcab0a6ae2707f8c9ab8b35a3eeddf8ca0e8565,Simplify LangGraph pipeline and fix empty response issue · FurkanSahinnn/psychological-agent@efcab0a,Simplify LangGraph pipeline and fix empty response issue,Graph Restructure,Minimized State Schema,,,,,Performance,2.0,1.0,LangGraph,,,
c83e2588e088adf5f4803dff9688ef07f5e925f3,feat: add Docker deployment and enhance streaming capabilities · kafkaGen/general-assistant@c83e258,Improve LangChain data type conversion with additional kwargs support,additional kwargs,Streaming,,,,,Maintainability/Performance,2.0,2.0,LangGraph,,,
8e3edabb925f892107438516701dd6f0ac1b3def,refactor: simplifica classe Agent com context manager do AsyncSqliteS… · arthurmorais12/ecommerce-chat@8e3edab,refactor: simplify Agent class using AsyncSqliteSaver context manager,Asynchronous invocation,Checkpointer,,,,,Reliability/Scalability/Performance,3.0,3.0,LangGraph,,,
49777f1f403eb9163338dedd3c44e0fb8d05abe1,LangGraph V3 Compliance: Automated Document Processing & Anti-Pattern… · rudihinds/langgraph-agent@49777f1,* extend state schema * refactor: replace legacy agents with streamlined RFP analysis collaboration flow,Model Arguments,,Expanded State,Sub-Agents,Model Switching,,Reliability/Scalability,5.0,2.0,LangGraph,,,
d003cce49694ce0140249386db96b655dbe58fa0,feat!: migrate to LangChain v1.0 with context-based architecture (#20) · midodimori/langrepl@d003cce,- Separate concerns between graph state and execution context ,Message Handling,,,,,,Maintainability/Reliability/Scalability,1.0,2.0,LangGraph,,,
f2c1dc00d6e4dc629231ce31614103ef261267e1,"Refactor agent workflows and tools for improved state management, err… · ssdeanx/langgraph-dm@f2c1dc0",,Altered State Schema (messages),Checkpointer,,,,,Reliability/Scalability,2.0,2.0,LangGraph,,,
e7cd19cc538f3f5156dd717c457d73df6b6dae67,refactor(langgraph): restructure workflow creation and add message tr… · Lostovayne/Agente-de-IA-usando-Next-y-Langchain@e7cd19c,refactor(langgraph): restructure workflow creation and add message trimming,Context Trimming,,Altered State Schema (messages),Model Arguments,,,Cost/Performance,3.0,2.0,LangGraph,,,
b44b80ae3991ac76872bec46e622c51bb5ab4cea,https://github.com/luistorres/medabot/commit/b44b80ae3991ac76872bec46e622c51bb5ab4cea,Modern LangChain Patterns: - Use RunnableSequence (current best practice) - StringOutputParser for clean text output - Proper chain composition with .from() - Better error handling,,Runnable Sequence,Model Arguments,,,,Reliability/Cost,2.0,2.0,LangChain,,,
d132f568cebfc27531bc84fce48bb2f44837b5c6,Restructure agent following Anthropic 2025 best practices · currentspace/dj@d132f56,System Prompt Restructure,Changed System Prompt,,,,,,Reliability,1.0,1.0,LangChain,,,
e0e06877ec7998da7db3bbb08719b79f554a52bd,https://github.com/ssumakant/asf-genesis/commit/e0e06877ec7998da7db3bbb08719b79f554a52bd,Temperature set to 0.0 for maximum determinism and minor latency optimization,Model Arguments,,,,,,Reliability,1.0,1.0,,,,
5fe18b3dedfdf2f99dd31aa42c6ec5918fac9841,feat: New calendar page & updated tools (#265) · theexperiencecompany/gaia@5fe18b3,Add create_calendar_agent to ProviderSubAgents (uses SubAgentFactory with retrieve_tools_limit=5),Sub-Agents,Tool Refactor,,,,,Maintainability/Scalability,2.0,2.0,LangGraph,,,
2603bf5822ab3df95c9c231c0610b2e805642edb,Implement LangChain tool-calling with ReAct pattern for stock analysis · YongzhQi/stock-prediction@2603bf5,Refactor Analyzer Agent to use LangChain @tool decorator for on-demand metric calculation,Tool Decorator,,,,,,Reliability,1.0,1.0,LangGraph,,,
18a8a6f141b1eb9d721e76197109d3b3b956ff06,https://github.com/luckystarufo/personal_assistants/commit/18a8a6f141b1eb9d721e76197109d3b3b956ff06,"Refactor EchoForge agent: add echo node, fix message type handling, update schema",Message Handling,Graph Restructure,,,,,Reliability,2.0,1.0,LangGraph,,,
f0ee5ba75154ce838124b8e5bfe4f5c8f3bf2f85,Refactor state management: split `messages` into `progress_messages` … · MehdiZare/seekr-assignment@f0ee5ba,"Refactor state management: split messages into progress_messages for UI tracking and messages for LangGraph communication, transition supervisor tools and LLM calls to async, and truncate tool call IDs for OpenAI compatibility.",Asynchronous Invocation,Altered State Schema (messages),Message Handling,Graph Restructure,,,Performance/Reliability/Maintainability,4.0,3.0,LangGraph,,,
eb80155e80a00a04e54bfeb19d1c18381c7925de,Refactor backend to integrate LangChain messages for chat history man… · NaifMersal/Legal-assistant@eb80155,"Refactor backend to integrate LangChain messages for chat history management, enhance RAG service with conversation context, and update setup documentation. Remove obsolete setup scripts and tests.",Message Handling,Add Conversational Memory,,,,,Reliability/Scalability,2.0,2.0,LangChain,,,
70e006ef3c47e51254a9f85f00ae806278e5da0d,refactor: redesign tools_agent subgraph with proper dependency injection · LongStoryMedia/llmmllab@70e006e,refactor: redesign tools_agent subgraph with proper dependency injection,Altered State Schema (messages),Configuration Injection,Asynchronous Invocation,Message Handling,,,Reliability/Scalability/Performance,4.0,3.0,LangGraph,,,
3cbd0d6603d364355c991a956a2f928b63b2b771,refactor: Transform monolithic agent into modular architecture · mihiarc/rpa-landuse@3cbd0d6,refactor: Transform monolithic agent into modular architecture,Sub-Agents,Context Trimming,,,,,Scalability/Maintainability,2.0,2.0,LangGraph,,,
d9a6b5d1310be287e98e09d60fd222693383472c,refactor: migrate to LangGraph prebuilt components and fix tool calli… · AhmedShetaia/Finincial_ChatBot@d9a6b5d,refactor: migrate to LangGraph prebuilt components and fix tool calling flow,Checkpointer,Tool Refactor,Message Handling,,,,Reliability/Scalability/Maintainability,4.0,3.0,LangGraph,,,
84365f48d52394fe39ed9ad9e8174a26ba1b9a8f,"refactor(agent): Enhance debuggability, logging, and memory management · shskwmt/hikizan-emacs@84365f4","This commit introduces significant refactoring to the `EmacsAgent` to improve its robustness, debuggability, and memory efficiency, especially concerning the Gemini API's conversation flow requirements. ",Checkpointer,Context Trimming,Token Tracking,Message Handling,,,Reliability/Scalability/Cost,4.0,3.0,LangGraph,,,
180ff70e4612b4998cc08cfd5c671471baec4c1d,Refactor run_langchain.py to enhance user interaction and memory mana… · Monthlyaway/AI-Conversation@180ff70,Refactor run_langchain.py to enhance user interaction and memory management,Message Handling,Add Conversational Memory,,,,,Reliability/Observability,3.0,2.0,LangChain,,,
9b9e854fb4369a73c591bc561c475e33722d2144,Update dependencies and enhance memory management features · himudigonda/agentum-framework@9b9e854,Update dependencies and enhance memory management features,Checkpointer,,,,,,Reliability/Scalability,1.0,2.0,LangChain,,,
73661de7d12d6d6f0e36588426282661e70b20e9,refactor: remove SQLite database and related embedding logic · GuillermoBlanco/ai-knowledge-assistant@73661de,refactor: remove SQLite database and related embedding logic,Checkpointer,,,,,,,,,,,,
ee1eca2a03edfe4033f181fe079bbc54a2505627,refactor: implement lazy langchain imports and clarify Python 3.11 re… · m-ross-thornton/resume-narrator@ee1eca2,refactor: implement lazy langchain imports and clarify Python 3.11 requirement,Changed Imports,,,,,,,,,,,,
de4c24820cd5967f1abff5f4af6dafab0207e618,Refactor advanced_langgraph_features.py to implement modern LLM-power… · NirelNemirovsky/aigie-io@de4c248,"Refactor advanced_langgraph_features.py to implement modern LLM-powered research tools, enhancing state management and feedback processing.",Asynchronous Invocation,Altered State Schema (messages),Message Handling,,,,Performance/Scalability/Maintainability,3.0,3.0,LangGraph,,,
3854c2b3408f91e5aebbebd2c1373e4568ef0f4d,♻️ Refactor useStream to use LangGraph SDK Message type · hoshinotsuyoshi/study-liam@3854c2b,♻️ Refactor useStream to use LangGraph SDK Message type,Message Handling,,,,,,Reliability/Maintainability,1.0,1.0,LangGraph,,,
e0560f8bc6397084890590771f0aabcc9817fd66,feat: Implement lazy agent hydration and thread message caching (#66) · lucelsbyleverageAI/agent-os-starter-kit@e0560f8,feat: Implement lazy agent hydration and thread message caching,Caching,Parallel Nodes,,,,,Performance,2.0,1.0,LangGraph,,,
42e22be41d6c3ecbda9a409619c889b5b4bea86c,Add LangGraph authentication via metadata and demo improvements (#361) · nexi-lab/nexus@42e22be,Add LangGraph authentication via metadata and demo improvements,Configuration Injection,,,,,,Maintainability/Reliability,2.0,2.0,LangGraph,,,
cc01e2aed1f1f3f7380eeecd744953e91abd2a11,fix: DeepAgents/LangGraph runtime compatibility fixes · Arc-Computer/atlas-sdk@cc01e2a,Use HumanMessage objects instead of plain dicts for LangGraph agents,Message Handling,,,,,,Maintainability/Reliability,1.0,2.0,LangGraph,,,
591a28fbbc6790934cf0c05f89fed17467c68206,Improve system message handling and conversation history in LangGraph… · WIMUniCologne/agentic_artificial_intelligence@591a28f,Improve system message handling and conversation history in LangGraph agents,Message Handling,,,,,,Maintainability/Scalability,2.0,2.0,LangGraph,,,
682feaaccedb2d05d09c5cf17d631f10eb0987c5,refactor(backend): restructure agent architecture with LangGraph · CaptainCrouton89/Saturn@682feaa,refactor(backend): restructure agent architecture with LangGraph,Graph Modularization,,,,,,Maintainability,1.0,1.0,LangGraph,,,
40b3147c3225b175dff8d17145a93a059a80dce8,Update dependencies in requirements.txt; refactor AgentBase methods f… · AIProjects8/multiagent-telegram@40b3147,Update dependencies in requirements.txt; refactor AgentBase methods for improved message handling and language support; replace langchain.schema imports with langchain_core in multiple agents for consistency.,Changed Imports,,,,,,,1.0,,LangChain,,,
cb3467c417513d6da61ad54f24b240aed8b417a1,feat: Implement HACS Deep Admin Agent with deepagents framework · solanovisitor/hacs-ai@cb3467c,5 specialized admin sub-agents for different domains,Sub-Agents,,,,,,Scalability/Maintainability/Performance,1.0,3.0,LangGraph,,,
e58b6942d9e4d7491569887d7070bdb6305d4254,https://github.com/allthriveai/allthriveai/commit/e58b6942d9e4d7491569887d7070bdb6305d4254,Refactor Ember agent to use LangGraph checkpointing and AI gateway,Checkpointer,,,,,,Reliability/Scalability,1.0,2.0,LangGraph,,,
459e7aa2c4f524ff91928f58e8edc2d240d083eb,https://github.com/tnorlund/Portfolio/commit/459e7aa2c4f524ff91928f58e8edc2d240d083eb,Refactored imports and code structure for better readability and maintainability,Graph Modularization,Sub-Agents,,,,,Scalability/Maintainability,2.0,2.0,LangGraph,,,
683c3eb6aec76dfb1c0016b5d33e9c00951f5d71,https://github.com/ArieGoldkin/SkillForge/commit/683c3eb6aec76dfb1c0016b5d33e9c00951f5d71,Refactored into multiple files to meet 200-line limit,Graph Modularization,Sub-Agents,,,,,Scalability/Maintainability,2.0,2.0,LangGraph,,,
6ec67f4844c5d44d7d83f8a5ebd4e80a877bda8c,https://github.com/deadmanoz/orchestra/commit/6ec67f4844c5d44d7d83f8a5ebd4e80a877bda8c,Architectural Refactoring: Workflow & Checkpoint System Improvements,Checkpointer,,,,,,Scalability/Reliability,1.0,2.0,LangGraph,,,
96572daf769be6ebab224dd14dc21f292db35292,https://github.com/lucelsbyleverageAI/agent-os-starter-kit/commit/96572daf769be6ebab224dd14dc21f292db35292,refactor: simplify deepagent to use inline pre_model_hook,Message Handling,Graph Restructure,Minimize Conditional Routing,,,,Reliability/Maintainability,3.0,2.0,LangGraph,,,
8cbb047ac27f991dabcf6396302653add7db33a7,https://github.com/HuskyDanny/FinancialAgent/commit/8cbb047ac27f991dabcf6396302653add7db33a7,refactor(agent): modularize agent and tools architecture,Graph Modularization,,,,,,Maintainability,1.0,1.0,LangGraph,,,
ef6ed6fa475a79cf6a52c3a5bf405c8d3a94414b,https://github.com/Annotation-Garden/HEDit/commit/ef6ed6fa475a79cf6a52c3a5bf405c8d3a94414b,add LiteLLM integration for Anthropic prompt caching,Caching,kwargs,,,,,Cost/Compatability/Performance,2.0,3.0,LangChain,,,
ffe23613dfa5a90e3b03cff809114aa21df74599,https://github.com/stride-nyc/export-langsmith-data/commit/ffe23613dfa5a90e3b03cff809114aa21df74599,Extract cache tokens from LangChain message structure,Caching,,,,,,Cost/Performance,1.0,2.0,LangChain,,,