BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
ACHABAL,Fruits,2015,7,16,Apple,ANANTNAG,"Plant Protection",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL EUROPEAN RED MITE ON APPLE","SPRAY Hexythiazox 5 EC 40 ml orSpiromesifen 240 SC 40 ml orFenazaquin 10 EC 40 mlIN 100 LITRE OF WATER",33.7461,75.1854
BRENG,Fruits,2015,8,5,Apple,ANANTNAG,"Plant Protection",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL EUROPEAN RED MITES ON APPLE ","For ERMFenazaquin 10 EC 40 ml orHexythiazox 5 EC 40 ml or Spiromesifen 240 SC 40 ml",33.7461,75.1854
KHAN-SAHIB,Fruits,2015,6,27,Apple,BADGAM,"Plant Protection",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL EUROPEAN RED MITES ON APPLE TREE ","SPRAY WITH Fenazaquin 10 EC 40 ml orHexythiazox 5 EC 40 ml or Spiromesifen 240 SC 40 ml",34.0385,74.736
CHADOORA,Fruits,2015,8,3,Apple,BADGAM,"Plant Protection",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL EUROPEAN RED MITES ","Need based for ERMIf population is more than 15 mitesleafClothianidin 50 WDG 14 g orPropargite 57 EC 100 ml orMilbemectin 1EC 100 ml orCyenopyrafen 30 SC 30 ml",34.0385,74.736
PAHLOO,Fruits,2015,7,23,Apple,KULGAM,"Plant Protection",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL EUROPEAN RED MITE ON APPLE TREE","SPRAY FenazaquinMagister 10 ECMS Denocil Crop Protection LtdMajestic 10 ECMS Fungicide IndiaSpiromesifenOberon 240 SCMS Bayer Crop Science India Ltd",33.6447,75.0188
DHPORA,Fruits,2015,8,17,Apple,KULGAM,"Plant Protection",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL EUROPEAN RED MITES ","SPRAY WITH SPPIROMESIFIN OR HEXYTHIOZOX OR FENAZEQUIN  40 ML IN 100 LITRE OF WATER TO CONTROL EUROPEAN RED MITES ON APPLE TREE",33.6447,75.0188
SHOPIAN,Fruits,2015,8,17,Apple,SHUPIYAN,"Plant Protection",KHARIF,HORTICULTURE,"JAMMU AND KASHMIR","HOW TO CONTROL EUROPEAN RED MITES ON APPLE ","SPRAY WITH MAIDAN OR MAGISTER OR MAJISTIC OR DICOFOL",33.6649,75.163
PATTAN,Fruits,2019,7,20,Apple,BARAMULLA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ERM European Red Mite  on apple orchards ",nan,34.2087,74.3435
SHOPIAN,Fruits,2019,7,11,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING EUROPEAN RED MITE ",nan,33.6649,75.163
PULWAMA,Fruits,2023,12,18,Apple,PULWAMA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Farmer asked a query regarding european Red mites problem in apple orchard","For European Red Mites: For Mites: It is advised to farmer Spray Acaricide  Hexythiazox 545 EC 40 ml or Fenazaquin 10 EC40ml or Spiromesifen 229 SC 40 ml or Summer spray Oil 750 ml per 100 liter of water respectively",33.949,75.0418
ROHRU,Fruits,2024,5,21,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200   200       ",31.1042,77.171
THEOG,Fruits,2024,5,24,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200   200       ",31.1042,77.171
THEOG,Fruits,2024,5,27,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","--              Propargite 42   Hexythiazox 2  EC    200   200       ",31.1042,77.171
"JUBBAL KOTKHAI",Fruits,2024,5,31,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200   200       ",31.1042,77.171
"JUBBAL KOTKHAI",Fruits,2024,6,5,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200   200       ",31.1042,77.171
CHAUPAL,Fruits,2024,6,5,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200   200       ",31.1042,77.171
THEOG,Fruits,2024,6,10,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200   200       ",31.1042,77.171
THEOG,Fruits,2024,6,10,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200     50      2   200       ",31.1042,77.171
NIRMAND,Fruits,2024,6,11,Apple,KULLU,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50      2   200       ",31.9579,77.1089
ROHRU,Fruits,2024,6,11,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50      2   200       ",31.1042,77.171
SERAJ,Fruits,2024,6,12,Apple,MANDI,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50      2   200       ",31.6517,77.0093
POOH,Fruits,2024,6,20,Apple,KINNAUR,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50      2   200       ",31.593,78.3281
NAGGAR,Fruits,2024,6,20,Apple,KULLU,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","             Propargite 42   Hexythiazox 2  EC    200      50    200       ",31.9579,77.1089
CHAUPAL,Fruits,2024,6,20,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50      2   200       ",31.1042,77.171
TISA,Fruits,2024,6,23,Apple,CHAMBA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50      2   200       ",32.6923,76.1632
CHAUHARA,Fruits,2024,6,24,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50      2   200       ",31.1042,77.171
NARKANDA,Fruits,2024,6,27,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC     200      50      2   200       ",31.1042,77.171
KARSOG,Fruits,2024,7,1,Apple,MANDI,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite in apple ","              Propargite 42   Hexythiazox 2  EC    200        200    30  50     50      2   200       ",31.6517,77.0093
GOHAR,Fruits,2024,7,2,Apple,MANDI,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50   60        2   200       ",31.6517,77.0093
NARKANDA,Fruits,2024,7,2,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC     200      50      2   200       ",31.1042,77.171
SERAJ,Fruits,2024,7,10,Apple,MANDI,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50      2   200       ",31.6517,77.0093
THEOG,Fruits,2024,7,13,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50   200       ",31.1042,77.171
ANNI,Fruits,2024,7,15,Apple,KULLU,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50    200       ",31.9579,77.1089
KARSOG,Fruits,2024,7,15,Apple,MANDI,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50      2   200       ",31.6517,77.0093
CHAUHARA,Fruits,2024,7,16,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite  in apple ","              Propargite 42   Hexythiazox 2  EC     200      50   200       ",31.1042,77.171
NICHAR,Fruits,2024,7,17,Apple,KINNAUR,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite at walnut size in apple","              Propargite 42   Hexythiazox 2  EC    200      50      2   200       ",31.593,78.3281
CHAUPAL,Fruits,2024,7,19,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite in apple","              Propargite 42   Hexythiazox 2  EC    200      50    200       ",31.1042,77.171
ANNI,Fruits,2024,7,21,Apple,KULLU,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50      2   200       ",31.9579,77.1089
ROHRU,Fruits,2024,7,21,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50 ml   30 Kunoichi 50 ml  200       ",31.1042,77.171
ROHRU,Fruits,2024,7,21,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200     200       ",31.1042,77.171
POOH,Fruits,2024,7,22,Apple,KINNAUR,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50    200       ",31.593,78.3281
ANNI,Fruits,2024,7,27,Apple,KULLU,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite  in apple ","              Propargite 42   Hexythiazox 2  EC     200      50   200       ",31.9579,77.1089
CHAUPAL,Fruits,2024,8,1,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite in apple ","             Propargite 42   Hexythiazox 2  EC     200      50    30  50     60   200       ",31.1042,77.171
THEOG,Fruits,2024,8,1,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite in apple ","              Propargite 42   Hexythiazox 2  EC    200      50    200       ",31.1042,77.171
SERAJ,Fruits,2024,8,4,Apple,MANDI,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50      2   200       ",31.6517,77.0093
DACHNIPORA,Fruits,2024,8,10,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Farmer asked a query regarding Spider Mites and European Red mites problem in apple orchard","It is advised to farmer spray miticide Propargite 42  Hexythiazox 2 EC 100 ml100 liter of water to control the spider mites and European red mites problem in an apple orchard",33.7461,75.1854
KALPA,Fruits,2024,8,17,Apple,KINNAUR,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50      2   200       ",31.593,78.3281
ANNI,Fruits,2024,8,16,Apple,KULLU,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50      2   200       ",31.9579,77.1089
NARKANDA,Fruits,2024,10,23,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50      2   200       ",31.1042,77.171
NARKANDA,Fruits,2024,10,26,Apple,SHIMLA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of European red mite ","              Propargite 42   Hexythiazox 2  EC    200      50      2   200       ",31.1042,77.171
